rn,unix_tstamp,synth_browser_category,synth_page_url,synth_geo_city
1,1556669112,2,https://www.ad.nl/buitenland/brexit-leidt-tot-eerste-onafhankelijkheidsmars-wales-ooit~aab9d8dd/,Stadskanaal
2,1556669198,4,https://www.ad.nl/buitenland/familie-doodgeschoten-vrouw-krijgt-18-miljoen-aan-smartengeld~aa2609a0/,Barendrecht
3,1556669383,3,https://www.ad.nl/binnenland/als-we-wachten-gaan-we-het-niet-halen~a3ccbf29/,Amsterdam
4,1556669546,1,https://www.ad.nl/buitenland/vlaamse-julie-vocht-terug-dat-bekocht-ze-met-haar-leven~a7958d74/,Middelburg
5,1556669701,3,https://www.ad.nl/show/royal-baby-fever-harry-en-meghan-krijgen-een-meisje-en-ze-heet-diana~ac777559/,Alphen aan den Rijn
6,1556669729,3,https://www.ad.nl/economie/ook-telfort-verdwijnt-uit-de-winkelstraat~a7298486/,Zeewolde
7,1556669828,2,https://www.ad.nl/binnenland/basisscholieren-in-arme-wijken-massaal-op-achterstand~a41b70ed/,Heeze
8,1556670041,1,https://www.ad.nl/tennis/bertens-overtuigend-naar-finale-in-madrid-na-zege-op-stephens~a95fdce4/,Amsterdam
9,1556670057,1,https://www.ad.nl/arnhem/umit-bedacht-zich-geen-moment-en-redde-op-de-john-frostbrug-een-leven~a76d39b7/,Gorinchem
10,1556670529,4,https://www.ad.nl/binnenland/moordverdachte-thijs-h-klopte-aan-bij-meerdere-hulpverleners~a8f7812e/,Rennes
11,1556670957,4,https://www.ad.nl/amersfoort/coalitie-bekvecht-over-bouwen-in-vathorst-bovenduist~a895ead4/,Eindhoven
12,1556673672,4,https://www.ad.nl/auto/20-tips-voor-een-eeuwig-leven-van-je-auto~a662a81b/,Zoetermeer
13,1556673700,3,https://www.ad.nl/buitenlands-voetbal/manchester-city-ontsnapt-dankzij-absolute-wondergoal-kompany~vadb4e6b1/,Sommelsdijk
14,1556676056,1,https://www.ad.nl/binnenland/tientallen-gemeenten-wachten-ingrijpende-bezuinigingen-om-hoge-zorgkosten~af9ab103/,Spijkenisse
15,1556677065,1,https://www.ad.nl/binnenland/politie-vindt-zwaar-verwaarloosde-jochies-in-flat-ze-vertoonden-dierlijk-gedrag~a22e3023/,Amsterdam
16,1556677883,2,https://www.ad.nl/europees-voetbal/barcelona-zet-liverpool-dankzij-messi-voor-onmogelijke-opdracht~a71987ee/,Mijdrecht
17,1556678279,1,https://www.ad.nl/kampen/schoolvoetbal-in-ijsselmuiden-voor-het-eerst-in-mei~a2c3c8be/,Herentals
18,1556679576,1,https://www.ad.nl/economie/peter-w-had-bij-improvers-een-half-miljoen-verdiend-reed-in-een-dikke-auto~a6739070/,Capelle aan den IJssel
19,1556681122,1,https://www.ad.nl/binnenland/drijvend-drugslab-moerdijk-bijna-gezonken-door-op-afstand-bediende-boobytrap~add62d65/,Amsterdam
20,1556681423,4,https://www.ad.nl/rotterdam/wethouder-bokhove-door-het-stof-voor-brief-aan-ouders-gehandicapte-kinderen~a459d51a/,Veldhoven
21,1556682200,1,https://www.ad.nl/gouda/duikers-halen-sieradenkistje-uit-sloot-in-gouda~a637bf42/,Hoofddorp
22,1556682421,1,https://www.ad.nl/show/2-2-miljoen-mensen-zien-liverpool-van-barcelona-winnen~af6b8cc7/,Amsterdam
23,1556683476,4,https://www.ad.nl/show/waylon-en-bibi-onder-vuur-door-autostoeltje-baby-teddy~a94850fc/,Amersfoort
24,1556683585,4,https://www.ad.nl/buitenland/trump-woest-op-facebook-en-twitter-na-censuur~a3ccabcd/,Brunssum
25,1556683692,1,https://www.ad.nl/politiek/voorman-gele-hesjes-verlaat-torentje-huilend-het-was-een-pittig-gesprek~ad12fa64/,Amsterdam
26,1556683779,1,https://www.ad.nl/den-haag/paniek-in-bioscoop-het-leken-terroristen-maar-waren-vervelende-tieners~adc9dd45/,Barendrecht
27,1556684118,4,https://www.ad.nl/rotterdam/eigenaar-van-rotterdamse-telecomwinkel-gegijzeld-om-zijn-rekening-te-plunderen~adc0cca7/,'s-Heerenberg
28,1556684515,4,https://www.ad.nl/ad-werkt/politie-zoekt-komende-zeven-jaar-17-000-nieuwe-agenten~a8a0628b/,Hoogeveen
29,1556684657,4,https://www.ad.nl/economie/china-voert-importheffingen-op-in-handelsoorlog-met-vs~a808b66e/,Amsterdam
30,1556684663,4,https://www.ad.nl/show/mediadirecteur-bnnvara-wil-uitzondering-op-salarisregels-grote-zorg-dat-matthijs-vertrekt~a130bc1b/,Eindhoven
31,1556684667,1,https://www.ad.nl/show/teen-mom-ster-jenelle-evans-verliest-voogdij-over-zoon~acd03486/,Schiedam
32,1556684701,4,https://www.ad.nl/waterweg/vlaardingse-kapper-haci-25-redt-oudere-man-uit-zinkende-auto-iedereen-stond-te-filmen~a8302f6c/,Amsterdam
33,1556684749,1,https://www.ad.nl/binnenland/benzineauto-s-moeten-de-stad-uit-vanaf-2030~a8691241/,Zeist
34,1556684991,1,https://www.ad.nl/binnenland/verkoopfraude-schuldenaars-krijgen-energiecontract-aangesmeerd~ae1d46cb/,Nootdorp
35,1556685017,3,https://www.ad.nl/ad-werkt/waarom-1-mei-in-nederland-maar-geen-vrije-dag-is~a52f4967/,The Hague
36,1556685081,1,https://www.ad.nl/economie/doek-valt-alsnog-voor-coolcat-winkel-gaat-als-webshop-verder~a466e7cf/,Maarssen
37,1556685081,4,https://www.ad.nl/boxtel/vrees-dat-varkens-moeten-worden-geruimd-na-actie-in-boxtel-dit-mag-nooit-meer-gebeuren~a493cf90/,Oss
38,1556685085,4,https://www.ad.nl/dordrecht/in-dordt-is-de-armoede-soms-letterlijk-af-te-lezen-aan-de-gebitten~adc8a4c7/,Varsseveld
39,1556685119,1,https://www.ad.nl/ad-werkt/het-is-nationale-collegadag-wat-voor-collega-ben-jij~a73db0c9/,Doorn
40,1556685239,3,https://www.ad.nl/buitenland/stier-spiest-19-jarige-fran-tweede-dode-in-week-bij-spaanse-vechtfestivals~afb10e34/,Almere Stad
41,1556685348,1,https://www.ad.nl/buitenland/jongetje-9-dat-moeder-doodschoot-wilde-ook-buurmeisje-zien-sterven~a919afda/,Almere Stad
42,1556685402,1,https://www.ad.nl/binnenland/proef-met-twee-nieuwe-stembiljetten-in-2021~ae474299/,Oentsjerk
43,1556685413,4,https://www.ad.nl/woerden/cda-wil-veiliger-zebrapad-in-harmelen~a93e59e6/,Schiedam
44,1556685573,3,https://www.ad.nl/auto/dashcam-wapen-tegen-verkeershufters~a6549934/,Rotterdam
45,1556685574,1,https://www.ad.nl/politiek/raadslid-kleine-gemeente-verdient-voortaan-twee-tot-drie-keer-meer~aeb08e89/,Wateringen
46,1556685581,1,https://www.ad.nl/binnenland/infiltratie-actie-in-gevangenis-moordenaar-marianne-vaatstra~a2da59a1/,Julianadorp
47,1556685754,1,https://www.ad.nl/boxtel/vrees-dat-varkens-moeten-worden-geruimd-na-actie-in-boxtel-dit-mag-nooit-meer-gebeuren~a493cf90/,Assen
48,1556685857,1,https://www.ad.nl/binnenland/wijkblad-mag-niet-schrijven-over-azc-volledige-redactie-stapt-op~a1a66f25/,Harderwijk
49,1556686032,1,https://www.ad.nl/buitenland/verdachte-steve-b-bekent-moord-op-julie-23~ae170451/,Amsterdam
50,1556686070,3,https://www.ad.nl/dossier-ajax-spurs/pochettino-kon-spurs-niet-in-de-steek-laten-ondanks-aanbod-real~a113506d/,No City
51,1556686185,1,https://www.ad.nl/tennis/live-bertens-wil-historie-schrijven-finale-in-madrid-begonnen~a9fb5ddc/,Den Helder
52,1556686187,4,https://www.ad.nl/binnenland/als-mark-27-had-gedaan-wat-hij-van-plan-was-had-zijn-buurman-waarschijnlijk-niet-meer-geleefd~a0b7de26/,Schiedam
53,1556686354,1,https://www.ad.nl/nederlands-voetbal/argentijnse-verdediger-martinez-op-weg-naar-ajax~a0a544e4/,Capelle aan den IJssel
54,1556686424,4,https://www.ad.nl/dossier-thijs-h/buren-in-brunssum-geschokt-thijs-liep-hier-met-zijn-hond-schuchter-onopvallend~a74e4683/,The Hague
55,1556686457,4,https://www.ad.nl/auto/ronaldo-kocht-niet-de-duurste-auto-ter-wereld-maar-wie-dan-wel~a499569a/,Best
56,1556686461,1,https://www.ad.nl/buitenland/britse-kiezer-keert-grote-partijen-rug-toe~a56e47b1/,Ede
57,1556686521,3,https://www.ad.nl/nieuws/greta-thunberg-effect-bestaat-kinderen-beinvloeden-ouders-over-klimaat~a4b13a6f/,The Hague
58,1556686675,3,https://www.ad.nl/tilburg/lahlah-armoede-vergt-maatwerk~a2d03d3a/,Boven-Hardinxveld
59,1556686807,3,https://www.ad.nl/politiek/grapperhaus-pedo-handboek-gaat-niet-over-de-grens-van-de-wet~a077564b/,Schiedam
60,1556686868,1,https://www.ad.nl/rotterdam/dijkzigt-aan-vooravond-sloop-decor-van-serie-operavoorstellingen~a8d2147a/,Antwerp
61,1556686896,4,https://www.ad.nl/tilburg/eritreeer-verdacht-van-verkrachting-het-is-opgelost-we-gaan-trouwen~aa981c30/,Deventer
62,1556686942,2,https://www.ad.nl/lelystad/de-buurman-lag-een-week-lang-dood-in-huis-maar-niemand-die-iets-merkte~ae3a946a/,Purmerend
63,1556687123,1,https://www.ad.nl/buitenland/cruiseschip-in-quarantaine-300-mensen-vast-in-cariben-na-geval-van-mazelen~a547efdd/,Amsterdam
64,1556687368,3,https://www.ad.nl/rotterdam/zoekactie-naar-brugspringer-bij-erasmusbrug~a35eb01d/,Strijen
65,1556687369,3,https://www.ad.nl/economie/groeiende-groep-werkenden-heeft-geen-cent-te-makken~a5b4ebb6/,Oostzaan
66,1556687481,4,https://www.ad.nl/show/filemon-wesselink-bespreekt-vreemdgaan-met-zijn-nieuwe-vriendin-ramona~aa2df17d/,Arnhem
67,1556687591,2,https://www.ad.nl/den-haag/oud-machinist-theo-overlijdt-op-76-jarige-leeftijd-mededelingen-riep-hij-steevast-in-plat-haags-om~a65ee4d8/,Heerlen
68,1556687679,1,https://www.ad.nl/buitenland/dode-en-13-gewonden-bij-brand-in-duits-appartementencomplex~a17b3752/,Arnhem
69,1556687803,3,https://www.ad.nl/wonen/huizenmarktdeskundige-dit-gaat-echt-niet-goed~adf84abe/,Schiedam
70,1556687830,4,https://www.ad.nl/binnenland/doorbraak-politie-pakt-27-jarige-verdachte-voor-moorden-in-den-haag-en-brunssummerheide~a8233639/,Wateringen
71,1556687957,1,https://www.ad.nl/binnenland/getraumatiseerde-veteraan-vecht-voor-erkenning-en-compensatie~a502efba/,Utrecht
72,1556688062,3,https://www.ad.nl/utrecht/adrienne-cullen-strijder-voor-openheid-over-medische-missers-overleden~ae5069c4/,Amsterdam
73,1556688127,1,https://www.ad.nl/binnenland/als-we-wachten-gaan-we-het-niet-halen~a3ccbf29/,Houten
74,1556688284,1,https://www.ad.nl/buitenland/duif-vliegt-in-bocholt-12-kilometer-te-hard-en-wordt-geflitst~aaab41a2/,Kudelstaart
